,text,original,generated
93,"Wont mind
",0,0
94,"Me and you
",0,0
95,"Not yours
",0,0
96,"You do-ye
",0,0
97,"Myself and I will be. myself
",0,0
98,"Myself, I need someone
",0,0
99,"Can be-
",0,0
100,"Can of worms
",0,0
101,"We are both sides
",0,0
102,"Here comes Mr. B, Mr. B
",0,0
103,"Yeah, but you wont
",0,0
104,"The rain
",0,0
105,"Ive known so very
",0,0
106,"working out again
",0,0
107,"They wont stand up
",0,0
108,"Ive been walking these streets so long out walking so long
",0,0
109,"Im running out again
",0,0
110,"There are doors and there are doors
",0,0
111,"Im hungry for the things around my head
",0,0
112,"No they wont come anyway
",0,0
113,"I keep falling over
",0,0
114,"char?
",0,0
115,"Feel this love to the core
",0,0
116,"Here comes first, first, first, first, first, first, first, first, first
",0,0
117,"Wish we could flip
",0,0
118,"This girl is all the days that she bought her cigarettes
",0,0
119,"Super girl can still walk
",0,0
120,"Myself, Ive been around my liked
",0,0
121,"Ook with a smile for living
",0,0
122,"Cant put it right!
",0,0
123,"Do
",0,0
124,"Ve been walking a thousand miles at once
",0,0
125,"Aaaaa killer
",0,0
126,"We really dont stand
",0,0
127,"Myself and I just know no more
",0,0
128,"ch special.
",0,0
129,"Myself in
",0,0
130,"Thom:Should I be good
",0,0
131,"Its all right
",0,0
132,"chances
",0,0
133,"things when youve got the strength
",0,0
134,"Im so sick of waiting
",0,0
135,"Alright, huh, huh
",0,0
136,"Youre so last, last
",0,0
137,"Its so so so so so so disappointing
",0,0
138,"Here
",0,0
139,"Myself, not you
",0,0
140,"Im falling over
",0,0
141,"Its so very special, so very special, special, special
",0,0
142,"Theyre walking out in front of me
",0,0
143,"Have noticed nothing
",0,0
144,"Everything is wrong with
",0,0
145,"igators, bluebirds
",0,0
146,"Here Im going to the edge of the earth 
",0,0
147,"chores out again
",0,0
148,"Not mean no one but we all drive
",0,0
149,"All the holes at my eyes
",0,0
150,"Myself, Ive been around enough
",0,0
151,"When youre not yours
",0,0
152,"Ill bet youre my girl when youre not around
",0,0
153,"Ive been around for a long while
",0,0
154,"No one else but we all like the drums
",0,0
155,"Myself, I left!
",0,0
156,"Nooose talk around
",0,0
157,"I Will Wear It
",0,0
158,"First, last,
",0,0
159,"Here Im gonna be a part of the rest
",0,0
160,"Wish that I could walk the thousand miles
",0,0
161,"Myself, it’s so just the clever that you put him on
",0,0
162,"Im the girl around
",0,0
163,"Thom: The mongrel cat came home
",0,0
164,"When, when the lights go out
",0,0
165,"Run to the back again
",0,0
166,"Arent friends but they pay to kiss your feet
",0,0
167,"Es so sellu be flowers
",0,0
168,"Es like a detuned radio
",0,0
169,"Its not so clever, clever, clever, clever
",0,0
170,"All the planets
",0,0
171,"Im wondering, should I turn around?
",0,0
172,"Thom: What am I to do?
",0,0
173,"Myself and I am the one on the ball
",0,0
174,"Ill be gone, cause no one will see
",0,0
175,"Do not look so good
",0,0
176,"All the things that youve got
",0,0
177,"Doors and doors and doors
",0,0
178,"paoh, spit it back
",0,0
179,"Climbing up the walls, walls, walls, walls
",0,0
180,"Myself, I want to
",0,0
181,"Here comes the man
",0,0
182,"Ive been around you for so long
",0,0
183,"Wanna see you again
",0,0
184,"Come back rooms
",0,0
185,"In a bunker by hook or by crook
",0,0
186,"First, first, first
",0,0
187,"Im sorry if
",0,0
188,"Can be done when you want it
",0,0
189,"Its not so clever, cause youre not so clever
",0,0
190,"Everything is gonna do
",0,0
191,"Doors and there be nothing
",0,0
192,"Its always a sulk
",0,0
193,"There are so many sides to this one
",0,0
194,"Theyre not so sure
",0,0
195,"When youve got a face
",0,0
196,"Come and find me
",0,0
197,"Run from the back
",0,0
198,"things
",0,0
199,"Cant get the drums right!
",0,0
200,"Shes not yours
",0,0
201,"I couldve loved me
",0,0
202,"Its not the best when youre not here
",0,0
203,"Thom: Phil? Phil?
",0,0
204,"We really made our hip-hop
",0,0
205,"Can be the best
",0,0
206,"The walls cold
",0,0
207,"Do it
",0,0
208,"Feel like the best you can
",0,0
209,"Im gonna be where you are with
",0,0
210,"Its what youve been when youve been when youve been
",0,0
211,"Dont want to talk
",0,0
212,"Is up on the train again
",0,0
213,"Special
",0,0
214,"said, but I dont know how
",0,0
215,"Es gonna never change
",0,0
216,"Im not so good
",0,0
217,"Im hungry for something
",0,0
218,"Hes like the cowboy
",0,0
219,"And nothing at all
",0,0
220,"Im gonna do one day
",0,0
221,"Its not so clever, singing, looming from the heart
",0,0
222,"Stars arent stars but theyreWait mouths to feed on
",0,0
223,"Did
",0,0
224,"Myself, its always so near
",0,0
225,"Isnt the right way
",0,0
226,"Here, but I dont mind
",0,0
227,"Ill be gonna do
",0,0
228,"Killer cars, cars, cars, cars
",0,0
229,"Is just like the others
",0,0
230,"In a country that does not speak its name
",0,0
231,"Myself, I think youre crazy, maybe
",0,0
232,"Want to sleep like Id like a bedbug
",0,0
233,"Im walking out in the force ten gale
",0,0
234,"Wish that I could sleep and stay asleep at all the alarm bells and speakers that I give up for your company
",0,0
235,"Ill bеnt looking but Im gonna do
",0,0
236,"Whatever I want, and it cant be said
",0,0
237,"The walls
",0,0
238,"Doors and there cars
",0,0
239,"And I might be wrong with myself
",0,0
240,"And
",0,0
241,"Myself, it cant get
",0,0
242,"Myself, myself, I lost myself
",0,0
243,"Wish I was special, dont you dare
",0,0
244,"Myself, I am the only one that
",0,0
245,"Ve been living out here before
",0,0
246,"Did I see
",0,0
247,"I’m at this edge
",0,0
248,"Ve been walking these streets so long out in a force ten years
",0,0
249,"Myself, I left for bitch of 
",0,0
250,"And somewhere we will be
",0,0
251,"No one could know what I am talking about now
",0,0
252,"Stars and astral cars?
",0,0
253,"Stars should not walk alone at night
",0,0
254,"Can of all the wings that’s flown into my brain
",0,0
255,"Are power plants
",0,0
256,"WBeen thinking about you
",0,0
257,"Whose Im going to see?
",0,0
258,"In the world
",0,0
259,"We do this out of office
",0,0
260,"Am a
",0,0
261,"Me and
",0,0
262,"Want to sleep like that
",0,0
263,"Run to the radio interview
",0,0
264,"Its a tease little smile
",0,0
265,"Run around, around, around
",0,0
266,"Can sleep at night
",0,0
267,"Myself, I do
",0,0
268,"AThe strength for living in a glasshouse
",0,0
269,"Feel the strength of air conditioning, while the wings of the birds stay stone
",0,0
270,"I’m her, her, her
",0,0
271,"I wont run away and hide from work
",0,0
272,"Myself, babe, babe
",0,0
273,"Cant while the cat is away
",0,0
274,"First, last, and never spoken
",0,0
275,"Its always so pretty
",0,0
276,"when youre talking war games
",0,0
277,"Its happening
",0,0
278,"Myself, just like that
",0,0
279,"Though Ive known so very
",0,0
280,"Dancing like that
",0,0
281,"chhole
",0,0
282,"Ve Made me crazy
",0,0
283,"chats coming out all milk
",0,0
284,"Here comes mephistopheles
",0,0
285,"Thom: Im not
",0,0
286,"asshole
",0,0
287,"Full of love, you promised me
",0,0
288,"Myself, you, I, Ill get the
",0,0
289,"And for many years
",0,0
290,"said Ive been, before
",0,0
291,"company
",0,0
292,"Were not, they dont belong
",0,0
293,"Its gonna rain down again
",0,0
294,"Myself, I need you
",0,0
295,"Am coming out of your phone
",0,0
296,"Am I to do?
",0,0
297,"Did I do the hiphop
",0,0
298,"Arent they think of life
",0,0
299,"paH
",0,0
300,"Aaaaa
",0,0
301,"Ve been walking these streets so tired
",0,0
302,"Climbing up
",0,0
303,"Run the door in the door
",0,0
304,"I wont run or be found
",0,0
305,"Wish I could walk
",0,0
306,"Not wanted to be living in a business world and work in a job
",0,0
307,"Special.
",0,0
308,"Dont get out of orbit
",0,0
309,"Feel
",0,0
310,"Ve been climbing up four walls
",0,0
311,"Karma
",0,0
312,"Coooh
",0,0
313,"When youve got the smell of a local man
",0,0
314,"The world
",0,0
315,"First night of the rest of your days
",0,0
316,"see that
",0,0
317,"Were not gonna happen
",0,0
318,"chorus
",0,0
319,"Myself, man
",0,0
320,"This place of destiny
",0,0
321,"pa-pa, pa, pa, pa
",0,0
322,"Ive been walking these streets so long out of them
",0,0
323,"I’m the only one who I’m friends
",0,0
324,"Youll Wear It Proudly
",0,0
325,"Ill hit the alarm
",0,0
326,"Cant made me feel ill
",0,0
327,"When you put the world to
",0,0
328,"ass said Im the best
",0,0
329,"Ve got a skin and teeth, man drive
",0,0
330,"Myself and I dont have the strength
",0,0
331,"This girl is not my girl
",0,0
332,"First, last, last
",0,0
333,"Hes not gonna happen
",0,0
334,"Though I am none the better
",0,0
335,"Myself, Ive been around too
",0,0
336,"Myself and I
",0,0
337,"Theyre friends of friends I amNothing but friends
",0,0
338,"Why are we so sure?
",0,0
339,"Myself, my love
",0,0
340,"Nowhere to sit
",0,0
341,"And left my head
",0,0
342,"Wish that I could be good
",0,0
343,"Myself, I hold my peace
",0,0
344,"Wish that I could still make love
",0,0
345,"Myself and maybe
",0,0
346,"This girl is her girl of the eighties
",0,0
347,"No stranger
",0,0
348,"Werent they gonna tell me
",0,0
349,"No one else but we are not there
",0,0
350,"Is over, over, over, over, over
",0,0
351,"The world is a gunboat in a sea of fear
",0,0
352,"We are the dollars and cents and the pounds mark anducker and go-
",0,0
353,"Arent gonna happen
",0,0
354,"Wish I was special, but I’m a creep, I’m a weirdo
",0,0
355,"First, and first, and first, and first
",0,0
356,"Theyre not your friends
",0,0
357,"quitru
",0,0
358,"Thom: So we really made love
",0,0
359,"Here comes the cracker
",0,0
360,"Can love
",0,0
361,"Myself, who left
",0,0
362,"Myself, I ride, I ride
",0,0
363,"Wish I was special, but Im not so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so
",0,0
364,"Ook me used
",0,0
365,"Myself, Ive no idea what I am talking about now
",0,0
366,"This girl is the girl in
",0,0
367,"I dont know where you are with me
",0,0
368,"Ive no idea what I am talking about when Ive not the strength
",0,0
369,"Have the loneliest idea
",0,0
370,"ch
",0,0
371,"Supercollus
",0,0
372,"Its so danceh-spin!
",0,0
373,"Thom: Thank you, but we are out of reach
",0,0
374,"Its always better when the light is off
",0,0
375,"Its so very special
",0,0
376,"Es detuned radio
",0,0
377,"Whilst you leave me be, you stay
",0,0
378,"said Im hungry for a lynching
",0,0
379,"Cant get the drums right
",0,0
380,"Ve been stitched up by the past, Ill stay here forever
",0,0
381,"Morning has gone
",0,0
382,"Thom: Can’t kick your habit
",0,0
383,"I’m Coming Up
",0,0
384,"stepping on the futon
",0,0
385,"Wish I was special
",0,0
386,"Though I wasnt looking
",0,0
387,"Hes like a detuned radio interview
",0,0
388,"Arent youre friends friends
",0,0
389,"Myself, it hurts
",0,0
390,"chances theyre not your friends
",0,0
391,"said, but your eyes are concrete grey
",0,0
392,"Arent living here
",0,0
393,"I’ll Wear It After This 
",0,0
394,"Am gonna do one of those
",0,0
395,"Killer cars coming out green
",0,0
396,"Can of all the rest
",0,0
397,"Karma an am breathing, I wish I could be another
",0,0
398,"Won’t somebody just might
",0,0
399,"Cant put your lips to me
",0,0
400,"pa be a creep
",0,0
401,"Im hungry for the things
",0,0
402,"Yesterday Ive been
",0,0
403,"Ive gone but I dont
",0,0
404,"Its not that
",0,0
405,"Me, me
",0,0
406,"Not walk
",0,0
407,"Hes like the niece and the children
",0,0
408,"Ive not the strength
",0,0
409,"Is power, passion
",0,0
410,"Wanna do this?
",0,0
411,"Are we heavy?
",0,0
412,"I want to sleep around here
",0,0
413,"It’s so so just, everyone is so near
",0,0
414,"I hate to think about
",0,0
415,"Myself, Ive been around
",0,0
416,"Its so so
",0,0
417,"They pay to kiss the ground that they do
",0,0
418,"I’ll Wear It Proudly 
",0,0
419,"Myself, I’m the emperor
",0,0
420,"Ve been waiting for something to happen
",0,0
421,"Wish that I could flip who I am
",0,0
422,"Myself, its gone
",0,0
423,"Have gone but the future is far behind me
",0,0
424,"Have got myxomatosis
",0,0
425,"Werent youre friends
",0,0
426,"Get to the chorus in the chorus
",0,0
427,"smug glass
",0,0
428,"Run home safe tonight
",0,0
429,"Feel something good
",0,0
430,"No one can be sure but I hold
",0,0
431,"Feel the strength of people clinging around
",0,0
432,"Theyre living in a fantasy world
",0,0
433,"Myself, I’ve given all I can
",0,0
434,"We are the ones thatll Be around
",0,0
435,"I dont mind
",0,0
436,"augh!
",0,0
437,"Ook my life
",0,0
438,"Myself, I just dont know how I feather
",0,0
439,"Its not so clever, but it soon
",0,0
440,"Can fly
",0,0
441,"Im the girl in the girl in
",0,0
442,"This girl, girl
",0,0
443,"Yesterday Ive been walking over at all
",0,0
444,"Feel that I was looking at hey in
",0,0
445,"Feel theres a change
",0,0
446,"Yeah but they wont come back from me
",0,0
447,"Myself, myself, myself
",0,0
448,"Wish that I could change
",0,0
449,"Cant do
",0,0
450,"Killer cars and tramlines
",0,0
451,"Superver
",0,0
452,"Myself, man, man, man
",0,0
453,"Can of a river
",0,0
454,"pa-pa-pa-pa, pa-pa-pa, pa-pa, pa-pa, pa-pa
",0,0
455,"Do I mean it?
",0,0
456,"Stars and girls
",0,0
457,"I’ve Seen It
",0,0
458,"Its so so so so so so so so disappointing
",0,0
459,"Im hungry again
",0,0
460,"Myself, the worms, the worms, the worms
",0,0
461,"When the B-spin is spin out of balance
",0,0
462,"Thom: What key do you care?
",0,0
463,"Am getting old
",0,0
464,"Wish I could flip
",0,0
465,"And ahead of me
",0,0
466,"I’m Jim Morrison, Jim Morrison
",0,0
467,"Weve been out of reach
",0,0
468,"I.m. her
",0,0
469,"Its so so right now when you are
",0,0
470,"Im tuck the kids out safe tonight
",0,0
471,"said I love you but I dont know how
",0,0
472,"angel find my love
",0,0
473,"ambition
",0,0
474,"Is the B-spin
",0,0
475,"Myself, maybe
",0,0
476,"I’ll Wear This
",0,0
477,"Keep all the doors and doors themselves
",0,0
478,"confused to say
",0,0
479,"Wont talk
",0,0
480,"Myself, you
",0,0
481,"Dont get out of your phone
",0,0
482,"Myself, me, yeah
",0,0
483,"Do or dont
",0,0
484,"ch special
",0,0
485,"Wanna talk
",0,0
486,"Here comes Im a walking dream
",0,0
487,"Whats in baby now, I don’t know
",0,0
488,"This girl isnt youre friends
",0,0
489,"Myself, I wish that something would turn
",0,0
490,"First, then I
",0,0
491,"Did it all the things you wanted
",0,0
492,"Killer cars all drive
",0,0
493,"Am just gonna...
",0,0
494,"said I been where you liked
",0,0
495,"Myself, Mr. B, Mr. B
",0,0
496,"Get to
",0,0
497,"First, first, last, last
",0,0
498,"makes your mark
",0,0
499,"Myself, I am hungry again
",0,0
500,"Oh, uh uh uh uh uh uh, uh uh uh uh uh
",0,0
501,"Ook, I did!
",0,0
502,"Myself, I walk, I break all the rules
",0,0
503,"chasing my cage
",0,0
504,"Is a car?
",0,0
505,"Though its near
",0,0
506,"Myself, what is I coming to?
",0,0
507,"Karma-ksh
",0,0
508,"Doors and there’s something there
",0,0
509,"Feel sad for the rest of my life
",0,0
510,"Have I really got friends
",0,0
511,"Want to take the 
",0,0
512,"Arent going back
",0,0
513,"Myself, myself, I am a creep
",0,0
514,"Myself, everything is very near
",0,0
515,"I’m a Malik
",0,0
516,"Cant remember what youve done
",0,0
517,"Ve had my heartache
",0,0
518,"Do follow
",0,0
519,"Ook me years of work
",0,0
520,"Am you to do?
",0,0
521,"When life spat in my face
",0,0
522,"Isnt gonna happen
",0,0
523,"Myself, it’s just as me
",0,0
524,"Wish I was special, not the creep, now I
",0,0
525,"chasing meunny
",0,0
526,"Isnt going
",0,0
527,"Why should I stay and not stay when the walls are still in?
",0,0
528,"Arent heavy but theyre heavy
",0,0
529,"Ive been walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking over, walking
",0,0
530,"Yeah, everybody is gonna come and clean it up
",0,0
531,"Werent gonna happen
",0,0
532,"Myself, Ive been around a thousand years
",0,0
533,"Myself, who
",0,0
534,"ried to fit, to
",0,0
535,"And the lights gone out for me
",0,0
536,"And I dont laugh so much
",0,0
537,"All of the things around your head
",0,0
538,"Arent living
",0,0
539,"Yeah, but Im not going back
",0,0
540,"And I just dont know anymore
",0,0
541,"Its not so clever, just like that
",0,0
542,"Its so disappointing and
",0,0
543,"Myself,
",0,0
544,"Wish that all they could buy from me, just I could buy from you, right from wrong
",0,0
545,"Feel this girl is the girl
",0,0
546,"I need to sleep here before
",0,0
547,"Ve been walking these streets so long out the door and everyone is out of here
",0,0
548,"Myself, who am I to now?
",0,0
549,"Everyone around here is so near
",0,0
550,"When you take me away
",0,0
551,"Wish youre so very special
",0,0
552,"Myself, me, me, me, thе
",0,0
553,"Want it to stay but werent looking
",0,0
554,"Til you cant walk out the door
",0,0
555,"Myself, I lost myself
",0,0
556,"As cars get too old
",0,0
557,"Its not so clever, cause there
",0,0
558,"I do
",0,0
559,"I’m, I’m
",0,0
560,"Myself, who do we really need?
",0,0
561,"Im just gonna...
",0,0
562,"Its like a house falling in the bathroom
",0,0
563,"Myself, one, two
",0,0
564,"Wish it wasnt my thing, its gone
",0,0
565,"Me and I
",0,0
566,"There are three colours in my head
",0,0
567,"Myself, who am I to do?
",0,0
568,"Myself, Ill want
",0,0
569,"Rain down, rain down on me
",0,0
570,"Cant do it
",0,0
571,"Isnt happening
",0,0
572,"Ook me years of compromising
",0,0
573,"Dont know were gonna do this
",0,0
574,"Come back Ill take a quiet life
",0,0
575,"Caught in the club and carving knife
",0,0
576,"pa be a creep, I’m a weirdo
",0,0
577,"can
",0,0
578,"I want
",0,0
579,"Arent under attack
",0,0
580,"Es like 
",0,0
581,"Its not like the movies but we are hungry for the goodies
",0,0
582,"I should look
",0,0
583,"Hes in charge of what youll get
",0,0
584,"When I was sick, sick
",0,0
585,"Were not so sure
",0,0
586,"Everyone is there
",0,0
587,"Have to feel it
",0,0
588,"Is just the right thing
",0,0
589,"chats there
",0,0
590,"Do the hiphop
",0,0
591,"Myself and Ive been around enough
",0,0
592,"Werent the 
",0,0
593,"Can walk and talk to you
",0,0
594,"Wish that theres somewhere we could sleep
",0,0
595,"I shall Wear It Proudly
",0,0
596,"Not walk out
",0,0
597,"Ive been up in a while
",0,0
598,"Want the moon to
",0,0
599,"Its not like the movies but we all like the movies
",0,0
600,"Myself again
",0,0
601,"I forget
",0,0
602,"Me and why I feel so tongue-tied
",0,0
603,"Ive been around long
",0,0
604,"chasing him out the bathroom
",0,0
605,"Wеll Be the right one when youre thirtyGoth is cut off
",0,0
606,"Arent even friends
",0,0
607,"chique
",0,0
608,"Whilst they hadunny thoughts
",0,0
609,"Ahead of me
",0,0
610,"Runneth out again
",0,0
611,"Wish that I couldve kept
",0,0
612,"Ive been walking these streets so long out of 
",0,0
613,"Me and Mr. B
",0,0
614,"Yeah, theres circles in the room
",0,0
615,"said I ran around the playground
",0,0
616,"And somewhere I will be
",0,0
617,"confused
",0,0
618,"Why dont I do when I do
",0,0
619,"Myself, she love to hear something new
",0,0
620,"Run the door
",0,0
621,"You who are we to do?
",0,0
622,"Here Im allowed everything all of the time
",0,0
623,"Appatter
",0,0
624,"Thom: Thank you, I’m getting to
",0,0
625,"chances youre not yours
",0,0
626,"Ve been climbing up heads
",0,0
627,"When I get to my knees
",0,0
628,"Im too good
",0,0
629,"Myself, girls
",0,0
630,"Yeah, you know maybe
",0,0
631,"Stars fall into theobiles
",0,0
632,"Ill swallow me
",0,0
633,"The world is but
",0,0
634,"Yeah, you can force it but it will not come
",0,0
635,"Chances
",0,0
636,"see trouble with you
",0,0
637,"Hes like a detuned radio radio
",0,0
638,"Myself, Ive been thinking about you
",0,0
639,"And so we have crashed once in a while
",0,0
640,"And I do
",0,0
641,"Wanna go
",0,0
642,"Stars are all the right
",0,0
643,"more of friends
",0,0
644,"Killer cars, cars, cars
",0,0
645,"see you in real life
",0,0
646,"Oh very special
",0,0
647,"Can of been too many years
",0,0
648,"Can of all sides
",0,0
649,"Did not want to climb on believing that I dont belong here
",0,0
650,"Yeah, but youre gonna do it as-
",0,0
651,"Stars andWait and never look back
",0,0
652,"Wont run
",0,0
653,"Have no clothes left
",0,0
654,"Do what you do
",0,0
655,"Myself, now I see
",0,0
656,"when youre gonna out of here
",0,0
657,"Ve been walking out in neat while
",0,0
658,"Weve been stitched up
",0,0
659,"Im the girl in the purple dress
",0,0
660,"Myself, now
",0,0
661,"Myself and I am her
",0,0
662,"In a country of war
",0,0
663,"Stars arent stars but theyreWait
",0,0
664,"Can of been the best
",0,0
665,"Do what you want from me
",0,0
666,"Arent we talking
",0,0
667,"Is the old old, frightened
",0,0
668,"Wish that I could be good but you couldve sworn I saw me
",0,0
669,"Do- do1
",0,0
670,"Wish that theres me out
",0,0
671,"ok so let me be
",0,0
672,"In a city of boys in first class
",0,0
673,"I
",0,0
674,"Is a
",0,0
675,"seum like a vice
",0,0
676,"Stars arent stars but stars are they all stars
",0,0
677,"We couldve loved us
",0,0
678,"Es not even there
",0,0
679,"Werent my friends
",0,0
680,"Werent even high
",0,0
681,"First and last
",0,0
682,"Am back again
",0,0
683,"Ive been walking these streets so streets so streets are falling out of office
",0,0
684,"Have gone
",0,0
685,"Its like a detuned radio
",0,0
686,"Myself, Ive been here before
",0,0
687,"Im going to change
",0,0
688,"Ill Im gonna be where you are with me
",0,0
689,"And I just want to do
",0,0
690,"Ve been around for a while
",0,0
691,"Special 
",0,0
692,"Arent the speakers
",0,0
693,"Im hungry for the things I want
",0,0
694,"Myself, Ill help
",0,0
695,"Not even gonna talk
",0,0
696,"see me again
",0,0
697,"I dont disagree, I just dont know
",0,0
698,"Come and live with a broken man
",0,0
699,"Its not so clever, clever, clever, clever, clever,
",0,0
700,"Wish I could be good
",0,0
701,"Theyre friends
",0,0
702,"Ive been around so long
",0,0
703,"Ve been walking these streets so long out in a force ten gale so that I feel it
",0,0
704,"When you were here before, Ill never look back
",0,0
705,"Stars arent stars but theyreWait, that wasnt my intention, that wasnt my intention, that wasnt my intention, that wasnt my intention, that wasnt my intention, that wasnt my intention, that wasnt my
",0,0
706,"Superhouse
",0,0
707,"Its the future
",0,0
708,"Caught in the fire, fire, fire
",0,0
709,"Thom
",0,0
710,"Im the girl
",0,0
711,"I should Wear It Proudly
",0,0
712,"Wanna be like the real life that we do
",0,0
713,"Wish that I could walk and talk through the speakers
",0,0
714,"Myself, Ill spit again
",0,0
715,"Run, youre run, run
",0,0
716,"Ive been crazy not to good enough
",0,0
717,"Can of been my best
",0,0
718,"Do!
",0,0
719,"Myself, its holding on
",0,0
720,"Doors and there were doors that should have doors and there were doors that should have doors and there were doors that I dont have
",0,0
721,"Stars arent
",0,0
722,"Its not so clever, clever, clever
",0,0
723,"Ve been ringing through the speakers
",0,0
724,"Its so so so so, so, disappointing
",0,0
725,"Run from the car
",0,0
726,"Myself, its happened
",0,0
727,"Myself, I, I, I, I, you
",0,0
728,"When the walls are going again with out of the reach
",0,0
729,"IveXm running out
",0,0
730,"We coming out
",0,0
731,"Did not mean
",0,0
732,"In cars, boats, planes
",0,0
733,"But Im gonna be like the dream in my head
",0,0
734,"killers wrong
",0,0
735,"Myself, me, let me go
",0,0
736,"Arent happy with this
",0,0
737,"I will Wear It The Not My The Iron Lung
",0,0
738,"Did the hiphop but we lost all the hands
",0,0
739,"Myself, no
",0,0
740,"Run, run
",0,0
741,"Rain down rain down the rain
",0,0
742,"When you really need me, I cant
",0,0
743,"Myself, you, you
",0,0
744,"We ride tonight so we ride tonight
",0,0
745,"Myself see
",0,0
746,"Come back again for a phone
",0,0
747,"Is over, over, over, over, over my
",0,0
748,"Vem not really gonna be that one
",0,0
749,"No no one around
",0,0
750,"Its not so bomb but we have given all we can
",0,0
751,"Caught in myaxe
",0,0
752,"First, last, and green in the sky
",0,0
753,"Myself, my girl, the girl
",0,0
754,"Its always this
",0,0
755,"Me
",0,0
756,"Im not so sure
",0,0
757,"Its always better in the time
",0,0
758,"And Im gonna be
",0,0
759,"Now Im going to be where you are with when you are not
",0,0
760,"Though I wasnt looking but somehow you found me
",0,0
761,"Myself, wanna see
",0,0
762,"Myself, I
",0,0
763,"Im no one but Im gonna be where the lights are shining on me
",0,0
764,"Its not so clever but I did!
",0,0
765,"Theyre cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving, cheering and waving
",0,0
766,"see something
",0,0
767,"Wakes me feel so tongue-tru
",0,0
768,"When we realise
",0,0
769,"Morning and late at work
",0,0
770,"I just dont know where you are with me
",0,0
771,"Were not living
",0,0
772,"When youre not here
",0,0
773,"try and hold
",0,0
774,"And why I feel so tongue-tied
",0,0
775,"You are the ones who the door 
",0,0
776,"Isnt me
",0,0
